Customer ID,Recency,Frequency,Monetary,logRecency,logFrequency,kmeansSegments
12346.0,166.0,2,169.36,5.117993812416755,1.0986122886681098,3
12347.0,4.0,2,1323.32,1.6094379124341003,1.0986122886681098,4
12348.0,75.0,1,221.16,4.330733340286331,0.6931471805599453,2
12349.0,44.0,2,2221.14,3.8066624897703196,1.0986122886681098,2
12351.0,12.0,1,300.93,2.5649493574615367,0.6931471805599453,4
12352.0,12.0,2,343.8,2.5649493574615367,1.0986122886681098,4
12353.0,45.0,1,317.76,3.828641396489095,0.6931471805599453,2
12355.0,204.0,1,488.21000000000004,5.3230099791384085,0.6931471805599453,3
12356.0,17.0,3,3126.25,2.8903717578961645,1.3862943611198906,7
12357.0,25.0,1,11229.99,3.258096538021482,0.6931471805599453,4
12358.0,12.0,3,2519.01,2.5649493574615367,1.3862943611198906,7
12359.0,62.0,6,2563.36,4.143134726391533,1.9459101490553132,5
12360.0,29.0,3,1310.83,3.4011973816621555,1.3862943611198906,7
12361.0,99.0,3,276.35,4.605170185988092,1.3862943611198906,5
12366.0,270.0,1,500.24,5.602118820879701,0.6931471805599453,3
12368.0,265.0,1,917.6999999999999,5.583496308781699,0.6931471805599453,3
12369.0,50.0,3,1511.15,3.9318256327243257,1.3862943611198906,5
12370.0,261.0,3,534.62,5.568344503761097,1.3862943611198906,5
12371.0,46.0,3,1819.42,3.8501476017100584,1.3862943611198906,7
12373.0,261.0,2,603.0500000000001,5.568344503761097,1.0986122886681098,3
12374.0,58.0,2,2046.29,4.07753744390572,1.0986122886681098,2
12376.0,26.0,2,383.15,3.295836866004329,1.0986122886681098,4
12377.0,18.0,2,1718.2,2.9444389791664403,1.0986122886681098,4
12378.0,199.0,1,1407.7,5.298317366548036,0.6931471805599453,3
12379.0,59.0,2,692.98,4.0943445622221,1.0986122886681098,2
12380.0,102.0,4,4782.84,4.634728988229636,1.6094379124341003,5
12385.0,16.0,1,1668.4,2.833213344056216,0.6931471805599453,4
12386.0,3.0,1,258.9,1.3862943611198906,0.6931471805599453,4
12387.0,52.0,1,143.94,3.970291913552122,0.6931471805599453,2
12388.0,82.0,2,1120.45,4.418840607796598,1.0986122886681098,2
12389.0,39.0,3,1433.33,3.6888794541139363,1.3862943611198906,7
12391.0,101.0,5,2312.53,4.624972813284271,1.791759469228055,5
12392.0,228.0,1,234.75000000000003,5.43372200355424,0.6931471805599453,3
12393.0,19.0,2,816.85,2.995732273553991,1.0986122886681098,4
12395.0,8.0,4,1868.64,2.1972245773362196,1.6094379124341003,1
12396.0,311.0,1,931.43,5.7430031878094825,0.6931471805599453,3
12399.0,22.0,3,808.65,3.1354942159291497,1.3862943611198906,7
12400.0,51.0,1,205.25,3.9512437185814275,0.6931471805599453,2
12402.0,29.0,5,941.3,3.4011973816621555,1.791759469228055,7
12403.0,158.0,1,555.6600000000001,5.0689042022202315,0.6931471805599453,3
12406.0,36.0,3,2975.06,3.6109179126442243,1.3862943611198906,7
12408.0,22.0,3,1287.22,3.1354942159291497,1.3862943611198906,7
12409.0,57.0,4,12346.619999999999,4.060443010546419,1.6094379124341003,5
12410.0,139.0,1,240.38,4.941642422609304,0.6931471805599453,3
12411.0,46.0,1,346.9,3.8501476017100584,0.6931471805599453,2
12412.0,39.0,3,1262.05,3.6888794541139363,1.3862943611198906,7
12413.0,39.0,1,185.35,3.6888794541139363,0.6931471805599453,2
12414.0,100.0,1,90.0,4.61512051684126,0.6931471805599453,2
